Date,Exchange_Symbol,Trading_Volume,Volume_Weighted_Average_Price,Open_Price,Close_Price,Highest_Price,Lowest_Price,Unix_Msec_Timestamp,No_of_Transactions
17-08-2021,ARCT,810551,48.0209,46.08,,,45.67,1.63E+12,12059
17-08-2021,ORN,134726,5.4049,5.44,,,5.35,1.63E+12,809
17-08-2021,USXF,55396,37.2114,37.45,,,37.07,1.63E+12,311
17-08-2021,HLNE,74031,89.0004,89.9,,,88.07,1.63E+12,1572
17-08-2021,WAFD,303721,32.8881,32.99,,,32.63,1.63E+12,6053
17-08-2021,ROAD,161744,33.0262,32.77,,,32.45,1.63E+12,2391
17-08-2021,LDSF,37940,20.1954,20.24,,,20.18,1.63E+12,73
17-08-2021,SCS,328171,13.7144,13.71,,,13.54,1.63E+12,3652
17-08-2021,COMS,407270,1.8066,1.9,,,1.76,1.63E+12,1337
17-08-2021,TCON,207313,3.3247,3.4,,,3.21,1.63E+12,949
17-08-2021,UNL,5141,10.8038,10.89,,,10.75,1.63E+12,64
17-08-2021,RLYB,103453,15.3326,15.6,,,14.539,1.63E+12,2488
17-08-2021,NMTR,1619098,1.0337,1.05,,,1.02,1.63E+12,3887
17-08-2021,WMK,59765,56.3655,55.46,,,55.375,1.63E+12,1994
17-08-2021,MARK,1708715,1.1784,1.13,,,1.09,1.63E+12,4201
17-08-2021,AMRS,4463074,13.0587,13.65,,,12.79,1.63E+12,30155
17-08-2021,ALGT,244160,186.1764,188.38,,,182.03,1.63E+12,6380
17-08-2021,GGPI,609731,9.8663,9.89,,,9.84,1.63E+12,2682
17-08-2021,SSKN,365769,1.3822,1.45,,,1.3201,1.63E+12,732
17-08-2021,IBBQ,9145,26.3196,25.87,,,25.751,1.63E+12,119
17-08-2021,CpJ,49178,28.4718,28.5,,,28.4,1.63E+12,427
17-08-2021,BKF,5441,48.1596,48.09,,,48.02,1.63E+12,102
17-08-2021,BKMC,644,90.3558,90.55,,,90.14,1.63E+12,7
17-08-2021,KR,14008636,45.1698,43.75,,,43.67,1.63E+12,104632
17-08-2021,JW.A,155200,58.1143,58.54,,,57.28,1.63E+12,3100
17-08-2021,LFMD,704085,6.9475,6.9,,,6.7,1.63E+12,5646
17-08-2021,GSM,1220244,5.7222,5.77,,,5.52,1.63E+12,8723
17-08-2021,SBET,562352,5.3224,5.4,,,5.11,1.63E+12,2549
17-08-2021,HPE,7972970,14.8496,14.92,,,14.65,1.63E+12,32517
17-08-2021,PRTG,8932,17.3328,17.16,,,16.62,1.63E+12,348
17-08-2021,IMH,249269,1.3929,1.5,,,1.34,1.63E+12,619
17-08-2021,IGLB,408794,70.8768,70.86,,,70.75,1.63E+12,2420
17-08-2021,INDI,845367,8.9843,8.97,,,8.84,1.63E+12,4657
17-08-2021,GNCA,149084,1.7559,1.83,,,1.65,1.63E+12,496
17-08-2021,RIDE,7844780,5.3619,5.346,,,5.205,1.63E+12,40644
17-08-2021,MAR,2292146,130.2079,131.18,,,129.02,1.63E+12,32996
17-08-2021,BFIT,8128,29.7897,29.98,,,29.52,1.63E+12,149
17-08-2021,RTX,3999539,86.4182,86.4,,,85.65,1.63E+12,50997
17-08-2021,RIGL,1534499,3.6188,3.6,,,3.541,1.63E+12,8952
17-08-2021,JUPWW,8546,1.0791,1.1,,,0.96,1.63E+12,62
17-08-2021,EFNL,7668,51.3152,51.4,,,51.12,1.63E+12,76
17-08-2021,XERS,2517466,2.2427,2.24,,,2.18,1.63E+12,8493
17-08-2021,EWD,559085,47.5703,47.9,,,47.35,1.63E+12,3919
17-08-2021,SCHD,1906271,77.3993,77.73,,,76.98,1.63E+12,19600
17-08-2021,BBI,585206,0.6233,0.6362,,,0.615,1.63E+12,903
17-08-2021,ICOL,3903,9.6202,9.63,,,9.57,1.63E+12,54
17-08-2021,SRV,9855,27.1747,27.59,,,27.03,1.63E+12,55
17-08-2021,COIN,3101977,253.4456,253.14,,,246.23,1.63E+12,71841
17-08-2021,SAVA,5446191,105.7281,111.2,,,97.928,1.63E+12,71432
17-08-2021,CAN,4925652,8.1074,8.22,,,7.77,1.63E+12,25514
17-08-2021,CFX,556047,48.2171,48.21,,,47.61,1.63E+12,7691
17-08-2021,EXPD,784653,123.9193,125,,,122.7,1.63E+12,11977
17-08-2021,FITB,4718799,37.7123,37.83,,,37.32,1.63E+12,45008
17-08-2021,PGNY,678604,43.5549,45.01,,,42.66,1.63E+12,10147
17-08-2021,WSFS,188315,45.1172,45.21,,,44.55,1.63E+12,4030
17-08-2021,CIL,2657,45.8079,45.9,,,45.82,1.63E+12,63
17-08-2021,NEGG,493269,16.8869,17.6,,,16.34,1.63E+12,5273
17-08-2021,EMQQ,404766,49.1465,49.05,,,48.64,1.63E+12,2922
17-08-2021,TH,62476,3.3629,3.39,,,3.2501,1.63E+12,866
17-08-2021,PEG,1494249,64.5182,64.54,,,64.04,1.63E+12,18075
17-08-2021,ARRW,1674,9.6409,9.67,,,9.63,1.63E+12,17
17-08-2021,CNXT,25338,49.454,49.54,,,49.34,1.63E+12,224
